Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1983,2,Steve Stipanovich,0,211,111,4224,709,1319,0,0,418,580,0,984,0,69,149,316,411,1836,0,1
1983,3,Rodney McCray,0,201,100,4253,485,846,0,0,277,400,0,1029,0,151,178,283,329,1247,0,1
1983,4,Byron Scott,0,190,88,3145,646,1274,0,0,280,375,0,362,283,149,34,245,234,1572,0,1
1983,5,Sidney Green,0,206,100,3924,823,1550,4,12,423,585,0,1276,0,118,67,298,387,2073,0,1
1983,6,Russell Cross,0,208,98,3313,557,964,0,0,415,661,0,622,0,48,175,0,236,1529,0,0
1983,7,Thurl Bailey,0,211,98,2502,611,1190,10,15,263,353,0,759,94,57,207,84,283,1495,0,1
1983,8,Antoine Carr,0,206,102,3360,763,1370,3,5,382,512,0,776,243,99,209,248,385,1911,0,0
1983,9,Dale Ellis,1,201,93,3943,832,1399,0,0,401,524,0,679,109,154,32,252,321,2065,1,1
1983,10,Jeff Malone,1,193,93,3851,906,1768,0,0,330,408,0,420,168,87,5,182,305,2142,1,1
1983,11,Derek Harper,0,193,84,3175,407,851,13,24,150,214,0,320,419,178,42,207,178,977,0,1
1983,12,Darrell Walker,0,193,82,3070,496,959,0,0,333,524,0,463,248,230,50,344,259,1325,0,1
1983,13,Ennis Whatley,0,190,80,2105,324,651,0,0,214,286,0,204,398,103,19,237,173,862,0,0
1983,14,Clyde Drexler,1,201,95,3255,595,1105,0,0,193,300,0,948,303,268,82,242,322,1383,1,1
1983,15,Howard Carter,0,196,98,4364,806,1629,0,0,330,418,0,568,0,124,17,0,337,1942,0,0
1983,16,Jon Sundvold,0,188,77,4289,628,1273,0,0,341,402,0,254,0,96,8,269,235,1597,0,0
1983,17,Leo Rautins,0,203,98,987,526,1095,0,0,204,265,0,639,0,61,0,122,322,1256,0,0
1983,18,Randy Breuer,0,221,104,0,681,1194,0,0,415,569,0,730,174,79,228,176,284,1777,0,0
1983,19,John Paxson,1,188,84,3658,559,1062,0,0,248,337,0,205,411,133,8,0,228,1366,0,1
1983,20,Roy Hinson,1,206,95,3811,617,1230,0,0,289,477,0,858,0,69,356,0,343,1523,0,1
1983,21,Greg Kite,0,211,113,2943,291,644,0,0,135,268,0,847,126,52,208,178,365,717,0,0
1983,22,Randy Wittman,1,198,95,4689,649,1238,8,18,243,312,0,405,432,97,13,136,178,1549,0,1
1983,23,Mitchell Wiggins,0,193,84,2218,515,960,0,0,214,294,0,505,0,115,10,90,208,1244,0,0
1983,24,Stewart Granger,0,190,86,3658,498,977,0,0,311,418,0,207,0,171,13,405,315,1307,0,0
1983,25,Sidney Lowe,0,183,88,0,343,728,0,0,318,422,0,352,0,220,7,267,274,1048,0,0
1983,26,Leroy Combs,0,203,95,2818,552,997,0,0,330,493,0,761,0,103,167,210,257,1434,0,0
1983,27,John Garris,0,203,93,1366,380,656,0,0,217,303,0,461,0,41,127,111,234,977,0,0
1983,28,Rod Foster,0,185,73,2915,528,1016,0,0,309,351,0,191,0,99,12,213,250,1365,0,0
1983,29,Larry Micheaux,0,206,100,3418,554,943,0,0,214,387,0,787,0,137,132,203,340,1322,0,0
1983,30,Mark West,0,208,104,3536,561,1004,0,0,216,420,0,1113,71,54,446,203,386,1338,0,0
1984,1,Hakeem Olajuwon,1,213,116,2721,532,833,0,0,268,483,0,1067,88,134,454,181,315,1332,1,1
1984,2,Sam Bowie,0,216,107,2761,483,925,0,0,319,434,0,843,131,50,218,230,282,1285,0,1
1984,3,Michael Jordan,1,198,88,0,720,1333,34,76,314,420,0,509,181,169,71,200,271,1788,1,1
1984,4,Sam Perkins,0,206,107,4459,786,1364,12,48,561,705,0,1167,160,125,245,185,350,2145,0,1
1984,5,Charles Barkley,1,198,114,2322,467,746,0,0,249,382,0,806,137,76,145,190,290,1183,1,1
1984,6,Melvin Turpin,0,211,109,3325,626,1059,0,0,257,369,0,730,0,72,226,206,322,1509,0,0
1984,7,Alvin Robertson,1,190,84,2519,432,828,0,0,233,355,0,374,341,217,25,274,298,1097,1,1
1984,8,Lancaster Gordon,0,190,84,3927,682,1353,0,0,250,333,0,393,0,192,40,318,254,1614,0,0
1984,9,Otis Thorpe,1,206,102,3702,624,1086,0,0,377,577,0,902,107,77,107,266,367,1625,1,1
1984,10,Leon Wood,0,190,84,3730,697,1477,28,63,559,692,0,213,0,148,15,318,220,1981,0,0
1984,11,Kevin Willis,1,213,100,2121,353,666,0,1,92,159,0,563,17,42,71,83,235,798,1,1
1984,12,Tim McCormick,0,211,109,1484,307,552,0,0,280,380,0,475,0,24,48,141,265,894,0,0
1984,13,Jay Humphries,0,190,84,3864,527,1058,0,0,252,362,0,315,562,309,20,286,350,1306,0,1
1984,14,Michael Cage,0,206,102,4262,679,1238,0,0,488,667,0,1317,98,126,118,233,206,1846,0,1
1984,15,Terence Stansbury,0,196,77,1216,669,1466,0,0,424,558,0,393,0,0,0,0,0,1811,0,0
1984,16,John Stockton,1,185,77,3378,514,919,0,0,312,434,0,231,554,262,14,296,255,1340,1,1
1984,17,Jeff Turner,0,206,104,3319,519,1026,0,0,233,302,0,624,142,64,23,239,380,1271,0,0
1984,18,Vern Fleming,1,196,84,4321,700,1378,0,0,377,535,0,478,400,205,15,316,326,1777,0,1
1984,19,Bernard Thompson,0,198,95,3458,537,931,0,0,378,501,0,560,0,151,43,191,321,1452,0,0
1984,20,Tony Campbell,1,201,98,3258,589,1223,0,2,351,440,0,628,103,116,36,287,307,1529,0,1
1984,21,Kenny Fields,0,196,100,3396,686,1260,0,0,266,395,0,667,0,129,57,173,262,1638,0,0
1984,22,Tom Sewell,0,196,84,2633,627,1185,0,0,242,311,0,315,0,122,4,80,62,1496,0,0
1984,23,Earl Jones,0,213,95,0,951,1758,0,0,654,843,0,1168,244,38,205,0,362,2556,0,0
1984,24,Michael Young,0,201,100,4498,900,1833,0,0,243,385,0,795,0,215,54,216,308,2043,0,0
1984,25,Devin Durrant,0,201,91,2725,832,1527,0,0,621,820,0,643,0,57,40,264,244,2285,0,0
1984,27,Ron Anderson,0,201,98,2500,483,863,0,0,186,232,0,404,0,103,33,143,167,1152,0,0
1984,28,Cory Blackwell,0,198,95,2909,563,1234,0,0,278,397,0,586,0,101,17,222,199,1405,0,0
1984,29,Stuart Gray,0,213,107,2019,242,422,0,0,101,179,0,507,0,21,62,102,210,585,0,0
1984,30,Steve Burtt,0,188,84,4152,1003,1923,0,0,528,727,0,419,0,211,75,414,337,2534,0,0
1985,1,Patrick Ewing,1,213,109,4399,857,1382,0,0,470,740,0,1316,128,167,493,326,436,2184,1,1
1985,2,Wayman Tisdale,0,206,109,3653,1077,1862,0,0,507,767,0,1048,97,92,209,214,312,2661,0,1
1985,3,Benoit Benjamin,0,213,113,3176,610,1085,0,0,355,493,0,1005,151,60,411,239,264,1575,0,1
1985,4,Xavier McDaniel,1,201,93,3638,893,1584,0,0,366,587,0,1359,197,114,103,300,351,2152,1,1
1985,5,Jon Koncak,0,213,113,3971,713,1276,0,0,358,552,0,1169,173,74,278,273,426,1784,0,0
1985,6,Joe Kleine,0,211,116,3703,700,1192,0,0,429,593,0,877,77,89,51,266,327,1829,0,0
1985,7,Chris Mullin,1,198,91,4668,879,1599,0,0,682,804,0,509,453,211,42,381,279,2440,1,1
1985,8,Detlef Schrempf,1,206,97,3638,543,1043,0,0,363,513,0,752,284,69,42,303,353,1449,1,1
1985,9,Charles Oakley,1,203,102,0,928,1523,0,0,523,834,0,1642,94,0,32,0,0,2379,1,1
1985,10,Ed Pinckney,0,206,88,4366,637,1054,0,0,591,817,0,1107,226,196,253,304,382,1865,0,0
1985,11,Keith Lee,0,208,98,4430,930,1797,0,0,548,701,0,1336,0,108,320,368,416,2408,0,0
1985,12,Kenny Green,0,198,95,2543,524,965,0,0,204,308,0,554,0,53,89,160,216,1252,0,0
1985,13,Karl Malone,1,206,113,2831,653,1154,0,0,410,650,0,859,125,151,59,269,329,1716,1,1
1985,14,Alfredrick Hughes,0,196,98,4459,1226,2660,0,0,462,701,0,982,106,128,49,331,336,2914,0,0
1985,15,Blair Rasmussen,0,213,113,3438,618,1195,0,0,318,432,0,673,105,40,116,229,385,1554,0,0
1985,16,Bill Wennington,0,213,111,2995,398,687,0,0,225,305,0,644,100,54,151,149,379,1021,0,0
1985,17,Uwe Blab,0,216,114,0,545,1003,0,0,267,418,0,634,0,43,196,222,323,1357,0,0
1985,18,Joe Dumars,1,190,86,0,942,2038,5,8,723,917,0,488,330,188,17,333,297,2612,1,1
