Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,College Pace,OffRtg,DefRtg,College Name,Years in College
2001,19,Zach Randolph,1,206,118,654,138,235,0,1,80,126,0,221,34,24,22,53,60,356,67.1,115.3,92.1,michigan-state,1
2001,20,Brendan Haywood,1,213,122,3007,541,849,0,0,329,557,0,839,118,47,304,200,301,1411,70.1,109.8,96.9,north-carolina,4
2001,21,Joseph Forte,0,193,88,2340,479,1055,111,302,221,273,0,399,210,121,27,169,138,1290,72.1,107.2,98,north-carolina,2
2001,22,Jeryl Sasser,0,198,91,3117,674,1711,133,475,511,720,0,976,369,197,67,238,187,1992,72,106,99.5,southern-methodist,4
2001,23,Brandon Armstrong,0,196,85,1974,430,980,142,363,173,210,0,209,96,110,14,126,168,1175,71.5,104,91.5,pepperdine,2
#2001,24,Raul Lopez,0,185,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2001,25,Gerald Wallace,1,201,98,824,126,288,11,63,88,155,0,216,55,42,37,86,87,351,71.9,106.7,95.9,alabama,1
2001,26,Samuel Dalembert,1,211,116,1265,175,326,0,0,69,128,0,345,19,22,167,117,187,419,71.7,102,97.7,seton-hall,2
2001,27,Jamaal Tinsley,1,190,88,2211,284,732,52,159,230,336,0,306,431,177,56,273,198,850,71.6,109.8,93.1,iowa-state,2
#2001,28,Tony Parker,1,188,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2001,29,Trenton Hassell,0,196,91,3044,579,1228,122,354,346,444,0,685,375,90,55,283,154,1626,69.4,108.8,105.8,austin-peay,3
2001,30,Gilbert Arenas,1,190,87,2137,395,847,107,296,208,282,0,269,155,136,16,188,165,1105,73,108,91.3,arizona,2
#2002,1,Yao Ming,1,229,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2002,2,Jay Williams,0,188,88,3572,713,1575,313,797,340,507,0,395,644,235,14,424,253,2079,72,125,98.4,duke,3
2002,3,Mike Dunleavy,0,206,104,2994,499,1050,179,483,194,278,0,601,225,166,55,202,213,1371,72,125,98.4,duke,3
2002,4,Drew Gooden,0,208,113,2566,594,1205,19,62,319,457,0,905,156,104,107,251,241,1526,72.8,116,98.4,kansas,3
#2002,5,Nikoloz Tskitishvili,0,213,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2002,6,Dajuan Wagner,0,188,91,1146,265,647,66,208,166,230,0,89,128,43,20,105,101,762,61.4,130.3,112.1,memphis,1
#2002,7,Nene Hilario,0,211,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2002,8,Chris Wilcox,0,208,100,1160,224,431,0,2,106,180,0,330,69,34,71,0,0,554,69.3,123.6,104,maryland,2
#2002,9,Amar'e Stoudemire,1,208,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2002,10,Caron Butler,1,201,103,2173,404,868,44,121,284,370,0,477,190,134,22,168,151,1136,65.8,115.3,104.8,connecticut,2
2002,11,Jared Jeffries,0,211,104,2283,353,785,39,120,263,409,0,507,156,85,88,202,188,1008,62.9,113.8,102.1,indiana,2
2002,12,Melvin Ely,0,208,118,4031,789,1367,1,3,372,574,0,924,139,97,361,303,346,1951,71.9,110.6,102.8,fresno-state,4
2002,13,Marcus Haislip,0,208,104,1525,276,521,38,102,155,220,0,307,41,28,116,94,216,745,69.6,111.9,103.8,tennessee,3
2002,14,Fred Jones,0,193,95,3527,554,1151,147,435,389,483,0,631,367,148,74,305,313,1644,70.9,112.1,103,oregon,4
#2002,15,Bostjan Nachbar,0,206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2002,16,Jiri Welsch,0,201,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2002,17,Juan Dixon,0,190,74,4002,802,1713,239,615,426,501,0,599,371,333,26,355,283,2269,72.4,115.2,96.6,maryland,4
2002,18,Curtis Borchardt,0,213,109,1426,233,436,15,40,190,275,0,478,82,27,144,90,151,671,67,121.4,99.4,stanford,3
2002,19,Ryan Humphrey,0,203,107,2797,647,1308,8,22,331,618,0,1038,158,105,285,214,267,1633,66.8,118,103.5,notre-dame,2
2002,20,Kareem Rush,0,198,98,2536,550,1235,226,536,258,332,0,456,174,102,47,233,194,1584,68,113.8,106.3,missouri,3
#2002,21,Qyntel Woods,0,203,100,722,239,495,34,113,230,285,0,229,42,0,0,0,0,742,College Not Found,northeast-mississippi-community,0,,
2002,22,Casey Jacobsen,0,198,98,3020,547,1163,222,520,407,528,0,364,254,50,7,193,133,1723,67,121.4,99.4,stanford,3
2002,23,Tayshaun Prince,1,206,96,4018,648,1419,204,621,275,370,0,757,254,110,142,224,195,1775,67.3,112.4,98.8,kentucky,4
#2002,24,Nenad Krstic,1,213,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2002,25,Frank Williams,0,190,96,3202,467,1180,135,414,371,460,0,399,432,212,28,275,185,1440,67.5,115.4,99.6,illinois,3
2002,26,John Salmons,1,201,95,3814,444,953,86,268,313,389,0,687,433,192,81,321,316,1287,67.6,106.9,97.8,miami-fl,4
2002,27,Chris Jefferies,0,203,102,2460,386,886,119,352,248,395,0,425,160,98,102,208,199,1139,68.1,113.8,104.6,fresno-state,2
2002,28,Dan Dickau,0,183,86,2215,379,841,215,465,317,371,0,236,362,66,7,208,140,1290,65.8,125,103.4,gonzaga,2
2002,30,Roger Mason,0,196,91,2634,388,889,137,365,318,366,0,269,230,90,33,195,209,1231,71.6,115.6,105.6,virginia,3
#2003,1,LeBron James,1,203,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2003,2,Darko Milicic,0,213,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2003,3,Carmelo Anthony,1,203,109,1274,277,612,56,166,168,238,0,349,77,55,30,77,77,778,62.4,127.4,111.4,syracuse,1
2003,4,Chris Bosh,1,211,107,960,168,300,22,46,127,174,0,278,38,30,67,72,73,485,59.4,124.6,117.5,georgia-tech,1
2003,5,Dwyane Wade,1,193,100,1993,474,959,32,96,301,404,0,420,255,150,79,203,156,1281,56.2,134.8,115.7,marquette,2
2003,6,Chris Kaman,1,213,120,2179,446,733,0,0,358,502,0,707,65,42,182,257,234,1250,61.4,120.7,117.7,central-michigan,3
2003,7,Kirk Hinrich,0,193,86,4188,615,1247,235,546,288,371,0,532,668,206,57,380,382,1753,70.2,120,100.6,kansas,4
2003,8,T.J. Ford,0,183,75,2178,282,695,23,101,266,332,0,253,527,138,9,238,174,853,59.9,131.6,119.4,texas,2
2003,9,Mike Sweetney,0,203,125,2781,608,1117,0,4,534,735,0,887,174,101,180,236,224,1750,66,119.5,105.6,georgetown,3
2003,10,Jarvis Hayes,0,201,100,2636,575,1258,157,426,203,263,0,422,127,111,39,146,189,1510,59.9,129.9,120.4,georgia,2
#2003,11,Mickael Pietrus,0,198,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2003,12,Nick Collison,0,208,116,3888,858,1526,23,64,358,574,0,1143,257,155,243,0,0,2097,70.2,120,100.6,kansas,4
2003,13,Marcus Banks,0,188,91,2160,381,770,65,197,312,427,0,210,269,158,10,225,183,1139,59,130.1,124,nevada-las-vegas,2
2003,14,Luke Ridnour,0,188,79,3226,431,1005,203,522,334,389,0,285,500,150,10,303,198,1399,66.3,124.6,113,oregon,3
2003,15,Reece Gaines,0,198,93,3946,632,1398,225,588,456,608,0,424,475,192,28,332,316,1945,64.9,117.1,109.4,louisville,4
2003,16,Troy Bell,0,185,82,4357,761,1794,300,807,810,933,0,493,427,272,35,351,284,2632,64.9,117,110.1,boston-college,4
#2003,17,Zarko Cabarkapa,0,211,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2003,18,David West,1,206,113,4210,726,1366,18,55,662,874,0,1308,267,174,228,320,350,2132,64.7,116.5,102.6,xavier,4
#2003,19,Sasha Pavlovic,0,203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2003,20,Dahntay Jones,0,198,102,3907,636,1406,109,317,430,577,0,598,181,133,81,278,398,1811,61.3,138.6,113.3,duke,2
#2003,21,Boris Diaw,1,203,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2003,22,Zoran Planinic,0,201,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2003,23,Travis Outlaw,0,206,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2003,24,Brian Cook,0,206,106,3389,635,1246,94,277,384,484,0,815,171,92,136,266,394,1748,64.6,119.9,102.2,illinois,4
#2003,25,Carlos Delfino,1,198,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2003,26,Ndudi Ebi,0,206,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2003,27,Kendrick Perkins,1,208,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2003,28,Leandro Barbosa,0,190,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2003,29,Josh Howard,1,201,95,3536,645,1335,109,309,362,511,0,836,239,215,143,275,373,1761,65.3,118,106.4,wake-forest,4
#2003,30,Maciej Lampe,0,211,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,1,Dwight Howard,1,211,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2004,2,Emeka Okafor,0,208,114,3274,587,995,0,0,252,447,0,1091,81,91,441,0,0,1426,62.5,125.8,108.9,connecticut,3
2004,3,Ben Gordon,0,190,91,3291,590,1342,246,581,369,464,0,415,437,125,19,0,0,1795,62.5,125.8,108.9,connecticut,3
#2004,4,Shaun Livingston,0,201,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2004,5,Devin Harris,1,190,87,3356,438,980,187,499,362,465,0,391,295,164,40,0,0,1425,52.4,131.1,115.8,wisconsin,3
2004,6,Josh Childress,0,203,95,2458,386,881,104,310,185,245,0,583,155,77,95,0,0,1061,58.2,129.9,114.8,stanford,3
2004,7,Luol Deng,1,206,100,1149,210,441,40,111,98,138,0,255,68,49,39,0,0,558,58.7,136,110.8,duke,1
2004,8,Rafael Araujo,0,211,127,1697,366,646,11,41,192,278,0,589,75,88,40,0,0,935,54.1,134.3,119.3,brigham-young,2
2004,9,Andre Iguodala,1,198,98,1576,205,483,32,117,152,206,0,409,213,95,29,0,0,594,64.7,133.2,115.3,arizona,2
2004,10,Luke Jackson,0,201,98,3665,645,1398,174,433,506,596,0,746,424,160,37,0,0,1970,64.5,125.2,115.7,oregon,4
#2004,11,Andris Biedrins,0,211,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,12,Robert Swift,0,213,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,13,Sebastian Telfair,0,183,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2004,14,Kris Humphries,0,206,107,990,221,498,17,50,170,229,0,294,20,27,33,0,0,629,56.5,124.1,126.9,minnesota,1
#2004,15,Al Jefferson,1,208,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2004,16,Kirk Snyder,0,198,102,2586,477,1120,106,342,344,508,0,537,224,76,63,0,0,1404,58.8,127.8,119,nevada,3
#2004,17,Josh Smith,1,206,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,18,J.R. Smith,1,198,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,19,Dorell Wright,0,206,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2004,20,Jameer Nelson,1,183,86,4311,703,1550,229,628,459,584,0,581,713,250,10,0,0,2094,60.2,127.2,111,saint-josephs,4
#2004,21,Pavel Podkolzin,0,226,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,22,Viktor Khryapa,0,206,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,23,Sergei Monia,0,203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2004,24,Delonte West,0,193,82,2384,450,920,113,300,222,267,0,377,270,121,15,0,0,1235,56.2,132.9,115.1,saint-josephs,3
2004,25,Tony Allen,0,193,97,3072,574,1176,64,182,337,512,0,560,301,134,54,0,0,1549,56.6,129.5,110.5,oklahoma-state,2
2004,26,Kevin Martin,1,201,90,2515,565,1224,174,503,534,635,0,354,133,134,30,0,0,1838,61.4,122.6,121.3,western-carolina,3
#2004,27,Sasha Vujacic,0,201,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2004,28,Beno Udrih,1,190,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2004,29,David Harrison,0,213,127,2480,489,813,0,1,339,613,0,707,52,54,225,0,0,1317,61.9,123.3,117.8,colorado,3
#2004,30,Anderson Varejao,1,208,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,1,Andrew Bogut,0,213,118,2226,449,744,13,36,215,319,0,753,155,48,109,0,0,1126,51.5,128.7,111.2,utah,2
2005,2,Marvin Williams,0,206,108,800,125,247,19,44,138,163,0,236,26,39,17,0,0,407,63.3,139,110.9,north-carolina,1
2005,3,Deron Williams,1,190,91,3200,400,947,163,436,148,216,0,334,594,115,22,0,0,1111,55,136.1,112.6,illinois,3
2005,4,Chris Paul,1,183,79,2110,278,589,86,183,306,365,0,245,395,160,13,0,0,948,61.1,137.8,122.8,wake-forest,2
2005,5,Raymond Felton,0,185,93,3421,414,978,174,464,258,353,0,417,698,192,27,0,0,1260,61.6,131,117.1,north-carolina,3
#2005,6,Martell Webster,0,201,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,7,Charlie Villanueva,0,211,105,1405,272,525,24,61,139,204,0,425,63,26,105,0,0,707,62.3,125.8,104.9,connecticut,2
2005,8,Channing Frye,0,211,116,3686,707,1257,6,23,369,486,0,975,176,86,258,0,0,1789,63.1,132.3,117.5,arizona,4
2005,9,Ike Diogu,0,203,113,3190,617,1080,41,106,671,854,0,802,113,39,153,0,0,1946,58.8,128.9,124.4,arizona-state,3
#2005,10,Andrew Bynum,1,213,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2005,11,Fran Vazquez,0,208,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2005,12,Yaroslav Korolev,0,206,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,13,Sean May,0,206,121,2139,442,862,0,11,329,459,0,771,113,100,94,0,0,1213,61.6,131,117.1,north-carolina,3
2005,14,Rashad McCants,0,193,94,2863,614,1263,221,533,272,377,0,398,204,145,61,0,0,1721,61.6,131,117.1,north-carolina,3
2005,15,Antoine Wright,0,201,95,2793,467,1134,181,482,223,344,0,487,184,95,50,0,0,1338,57.5,126.5,123.6,texas-am,3
2005,16,Joey Graham,0,201,102,3337,597,1132,71,188,402,497,0,667,210,100,33,0,0,1667,56.2,138.2,113.6,oklahoma-state,2
2005,17,Danny Granger,1,206,101,2695,529,1066,78,213,450,598,0,781,154,148,180,0,0,1586,54.9,132,118.4,new-mexico,2
#2005,18,Gerald Green,0,201,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,19,Hakim Warrick,0,206,99,4186,767,1432,10,40,529,803,0,1025,207,131,128,0,0,2073,58.9,127.3,114.1,syracuse,4
2005,20,Julius Hodge,0,201,95,4258,665,1407,114,347,596,784,0,773,454,161,82,0,0,2040,55.1,133.3,121.2,north-carolina-state,4
2005,21,Nate Robinson,0,175,82,2510,446,975,127,365,264,333,0,345,285,140,9,0,0,1283,60.9,131.7,124.8,washington,3
2005,22,Jarrett Jack,0,190,91,3260,406,850,93,259,360,452,0,450,543,183,11,0,0,1265,59.5,125.9,114.1,georgia-tech,3
2005,23,Francisco Garcia,0,201,88,2757,462,1031,180,488,309,364,0,379,346,145,134,0,0,1413,57.6,136.2,112.4,louisville,3
2005,24,Luther Head,0,190,84,3250,452,956,209,547,182,242,0,403,326,158,23,0,0,1295,55.7,135.6,113.7,illinois,4
#2005,25,Johan Petro,0,213,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,26,Jason Maxiell,0,201,118,3563,562,1108,2,7,440,674,0,908,87,91,251,0,0,1566,56.5,132,111.3,cincinnati,4
2005,27,Linas Kleiza,0,203,111,1408,229,555,39,136,210,297,0,385,66,27,14,0,0,707,56,123.6,124,missouri,2
#2005,28,Ian Mahinmi,0,211,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,29,Wayne Simien,0,206,116,2817,585,1048,6,25,417,532,0,884,93,78,78,0,0,1593,61.8,131.1,110.9,kansas,4
2005,30,David Lee,1,206,111,3171,543,935,0,6,350,514,0,869,251,113,109,0,0,1436,57.7,133.6,114.2,florida,4
#2006,1,Andrea Bargnani,0,213,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,2,LaMarcus Aldridge,1,211,118,1602,276,471,0,0,161,248,0,434,34,67,97,0,0,713,58,131.2,111,texas,2
2006,3,Adam Morrison,0,203,93,2908,669,1329,128,348,401,527,0,485,188,66,35,0,0,1867,59.6,134.7,116.7,gonzaga,3
2006,4,Tyrus Thomas,0,206,98,829,152,250,1,1,90,137,0,295,42,33,99,0,0,395,59.4,123.2,107.5,louisiana-state,1
2006,5,Shelden Williams,0,206,113,3903,687,1202,4,12,550,792,0,1262,119,161,422,0,0,1928,59.6,134.5,112.5,duke,4
2006,6,Brandon Roy,1,198,98,2837,533,1041,53,154,358,468,0,517,308,103,49,0,0,1477,60.6,133.2,122.9,washington,4
2006,7,Randy Foye,0,193,97,4096,682,1711,213,647,389,498,0,625,416,198,52,0,0,1966,55.6,130.4,119.2,villanova,4
2006,8,Rudy Gay,0,203,104,1908,319,692,56,148,176,244,0,378,116,83,111,0,0,870,62.8,127.2,106.6,connecticut,2
2006,9,Patrick O'Bryant,0,213,118,1265,241,435,0,0,123,179,0,408,38,46,147,0,0,605,57.6,122.8,118.3,bradley,2
#2006,10,Mouhamed Sene,0,211,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,11,J.J. Redick,0,193,86,4732,825,1906,457,1126,662,726,0,375,306,152,9,0,0,2769,59.6,134.5,112.5,duke,4
2006,12,Hilton Armstrong,0,211,107,1980,227,403,1,3,159,275,0,517,73,43,191,0,0,614,62.7,126.8,107.3,connecticut,4
#2006,13,Thabo Sefolosha,0,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,14,Ronnie Brewer,0,201,100,2974,493,1067,104,306,326,486,0,452,299,216,49,0,0,1416,55.9,127.6,117,arkansas,3
2006,15,Cedric Simmons,0,206,107,1189,170,301,2,4,144,221,0,260,68,26,115,0,0,486,55.6,132.8,120.1,north-carolina-state,2
2006,16,Rodney Carney,0,201,93,3670,659,1587,287,792,296,413,0,651,155,134,131,0,0,1901,57.6,129.5,114.2,memphis,4
2006,17,Shawne Williams,0,206,102,1002,156,375,48,154,114,145,0,222,67,50,49,0,0,474,59.5,134.5,110,memphis,1
#2006,18,Oleksiy Pecherov,0,213,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,19,Quincy Douby,0,190,79,3045,581,1344,251,646,277,338,0,274,257,121,62,0,0,1690,55,122.7,121.5,rutgers,3
2006,20,Renaldo Balkman,0,203,94,2193,317,573,16,55,121,227,0,550,176,123,112,0,0,771,54.3,126.8,116.6,south-carolina,3
2006,21,Rajon Rondo,1,185,84,1908,249,505,28,99,128,222,0,306,285,156,13,0,0,654,55.6,129.8,115.7,kentucky,2
2006,22,Marcus Williams,0,190,93,1954,203,505,54,144,167,211,0,227,510,72,14,0,0,627,62.5,127.3,105.6,connecticut,3
2006,23,Josh Boone,0,208,108,2672,382,661,0,0,195,349,0,718,84,53,222,0,0,959,62.5,127.3,105.6,connecticut,3
