	Away Shooting Percentage	Away Team	Home Shooting Percentage	Home Team
164	0.342857142857	MIN	0.377777777778	NOH
165	0.5	NJN	0.518987341772	PHX
166	0.404761904762	POR	0.513513513514	SAS
167	0.4375	SAC	0.449438202247	HOU
168	0.444444444444	WAS	0.552941176471	PHI
169	0.385542168675	BOS	0.372340425532	IND
170	0.416666666667	GSW	0.5	CHA
171	0.454545454545	LAL	0.411764705882	LAC
172	0.447058823529	MIN	0.410256410256	ATL
173	0.432432432432	NJN	0.518518518519	UTA
174	0.466666666667	NOH	0.448717948718	MEM
175	0.409638554217	NYK	0.478873239437	OKC
176	0.43023255814	PHI	0.431818181818	WAS
177	0.411111111111	POR	0.41935483871	HOU
178	0.255813953488	SAC	0.456790123457	DAL
179	0.348837209302	TOR	0.40243902439	CHI
180	0.520547945205	GSW	0.418918918919	DET
181	0.417582417582	PHX	0.493827160494	SAS
182	0.517647058824	UTA	0.426666666667	DEN
183	0.423076923077	CHI	0.540229885057	MEM
184	0.4875	CLE	0.441860465116	CHA
185	0.35	DAL	0.381578947368	LAL
186	0.48275862069	HOU	0.4875	WAS
187	0.466666666667	MIL	0.440476190476	PHI
188	0.423076923077	NJN	0.4625	LAC
189	0.45	OKC	0.390804597701	BOS
190	0.507042253521	ORL	0.41095890411	NYK
191	0.472222222222	POR	0.411764705882	NOH
192	0.443037974684	SAC	0.4625	MIN
193	0.423076923077	TOR	0.450704225352	ATL
194	0.467532467532	CHA	0.461538461538	ORL
195	0.426666666667	DEN	0.417582417582	MIL
196	0.409638554217	DET	0.493827160494	HOU
197	0.436170212766	GSW	0.426829268293	CLE
198	0.364705882353	LAC	0.475609756098	UTA
199	0.513513513514	PHX	0.534090909091	CHI
200	0.475	SAS	0.582278481013	MIA
201	0.41975308642	DAL	0.425287356322	LAC
202	0.483146067416	DEN	0.438775510204	PHI
203	0.443037974684	DET	0.4	MIN
204	0.513888888889	GSW	0.493333333333	NJN
205	0.435897435897	IND	0.301075268817	SAC
206	0.493150684932	MEM	0.485714285714	NOH
207	0.480519480519	OKC	0.383720930233	WAS
208	0.455696202532	PHX	0.372093023256	NYK
209	0.380434782609	POR	0.464788732394	ATL
210	0.428571428571	SAS	0.333333333333	ORL
211	0.376811594203	TOR	0.478873239437	BOS
212	0.521126760563	DAL	0.3875	UTA
213	0.41975308642	LAL	0.447058823529	MIA
214	0.393617021277	NOH	0.397727272727	HOU
215	0.432432432432	ATL	0.416666666667	PHI
216	0.55421686747	CHI	0.303370786517	CLE
217	0.493670886076	DEN	0.421052631579	WAS
218	0.421686746988	IND	0.4625	GSW
219	0.381578947368	LAL	0.415584415584	ORL
220	0.573529411765	MEM	0.439393939394	DET
221	0.475609756098	MIL	0.369863013699	NYK
222	0.444444444444	MIN	0.464788732394	LAC
223	0.449275362319	PHX	0.405405405405	BOS
224	0.40243902439	POR	0.365853658537	TOR
225	0.433734939759	SAC	0.378048780488	SAS
226	0.472972972973	CHA	0.470588235294	CHI
227	0.485714285714	CLE	0.55421686747	ATL
228	0.405063291139	DAL	0.367088607595	NOH
229	0.418367346939	DEN	0.453608247423	NYK
230	0.44578313253	MIN	0.518987341772	UTA
231	0.415584415584	OKC	0.310344827586	NJN
232	0.44578313253	PHI	0.543209876543	MIA
233	0.41975308642	POR	0.44776119403	DET
234	0.413793103448	SAC	0.54347826087	MEM
235	0.446808510638	SAS	0.556962025316	HOU
236	0.513888888889	BOS	0.480519480519	WAS
237	0.46835443038	CHA	0.441860465116	NJN
238	0.467532467532	IND	0.418604651163	LAL
239	0.35	MIL	0.373134328358	MIA
240	0.358024691358	TOR	0.486111111111	LAC
241	0.457831325301	ATL	0.402173913043	MIL
242	0.341463414634	DET	0.532467532468	OKC
243	0.453488372093	HOU	0.4125	MIN
244	0.423529411765	MEM	0.5	GSW
245	0.480519480519	NJN	0.573333333333	CHI
246	0.246153846154	ORL	0.423076923077	BOS
247	0.373493975904	PHX	0.407407407407	DAL
248	0.4	SAC	0.465909090909	POR
249	0.546666666667	SAS	0.506024096386	NOH
250	0.432432432432	WAS	0.518072289157	PHI
251	0.5	CLE	0.457142857143	MIA
252	0.377777777778	MEM	0.430555555556	POR
253	0.5	NYK	0.329268292683	CHA
254	0.457831325301	ORL	0.397435897436	IND
255	0.414634146341	TOR	0.475609756098	PHX
