Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
2009,26,Taj Gibson,0,206,102,0,502,866,0,0,303,482,0,896,142,77,253,153,0,1307,0,0
2009,27,DeMarre Carroll,1,203,98,0,599,1119,27,96,281,466,0,806,210,152,59,104,0,1506,0,1
2009,28,Wayne Ellington,0,193,91,0,616,1331,229,577,233,288,0,469,258,109,14,128,0,1694,0,0
2009,29,Toney Douglas,0,188,88,0,739,1673,240,639,462,576,0,492,344,231,37,182,0,2180,0,0
#2009,30,Christian Eyenga,0,196,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,John Wall,1,193,88,1288,202,438,37,114,175,232,30,159,241,66,19,149,72,616,1,1
2010,2,Evan Turner,0,201,100,1108,539,1073,54,149,385,508,62,682,414,159,74,352,86,1517,0,0
2010,3,Derrick Favors,0,208,120,989,179,293,0,1,90,143,108,303,37,32,74,90,94,448,0,1
2010,4,Wesley Johnson,0,201,98,1224,462,1017,130,373,239,311,75,650,150,106,108,138,72,1293,0,0
2010,5,DeMarcus Cousins,1,211,122,893,206,369,1,6,162,268,154,374,38,37,67,78,122,575,1,1
2010,6,Ekpe Udoh,0,208,109,1264,343,726,13,45,168,259,129,650,154,79,292,123,87,867,0,0
2010,7,Greg Monroe,0,211,120,1164,345,635,9,33,243,359,74,531,207,99,97,189,87,942,0,1
2010,8,Al-Farouq Aminu,0,206,100,970,313,657,25,105,241,351,133,585,87,74,82,180,91,892,0,0
2010,9,Gordon Hayward,1,203,103,1239,298,634,116,314,280,340,72,512,125,88,60,138,78,992,1,1
2010,10,Paul George,1,206,100,962,320,716,122,308,212,264,55,422,151,123,58,173,84,974,1,1
2010,11,Cole Aldrich,0,211,113,963,391,681,0,0,256,351,110,860,72,59,253,133,92,1038,0,0
2010,12,Xavier Henry,0,198,100,990,162,354,69,165,90,115,43,157,53,54,18,69,66,483,0,0
2010,13,Ed Davis,0,208,109,641,210,383,0,0,142,228,66,470,44,24,129,86,42,562,0,0
